ID,Language_ID,Parameter_ID,Form,InterRater_Segments,Segments,reliability_binary
Barwar_Neo-Aramaic-nine-2,Barwar_Neo-Aramaic,nine,’ǝčča,ʔ ǝ ʧː a,ʔ ǝ ʧː a,1
Barwar_Neo-Aramaic-eighty-1,Barwar_Neo-Aramaic,eighty,tmáni,t m a n + i,t m a n + i,1
Barwar_Neo-Aramaic-fortysix-1,Barwar_Neo-Aramaic,fortysix,’árbi-w-’ǝ́šta,ʔ a r b + i + w + ʔ ǝ ʃ t a,ʔ a r b + i + w + ʔ ǝ ʃ t a,1
Barwar_Neo-Aramaic-fortyfour-1,Barwar_Neo-Aramaic,fortyfour,’árbi-w-’árba,ʔ a r b + i + w + ʔ a r b a,ʔ a r b + i + w + ʔ a r b a,1
Barwar_Neo-Aramaic-two-2,Barwar_Neo-Aramaic,two,tǝrte,t ǝ r t e,t ǝ r t e,1
Barwar_Neo-Aramaic-nineteen-1,Barwar_Neo-Aramaic,nineteen,’ǝč̣č̣ássǝr,ʔ ǝ ʧˤː + a sː ǝ r,ʔ ǝ ʧˤː + a sː ǝ r,1
Barwar_Neo-Aramaic-forty-1,Barwar_Neo-Aramaic,forty,’árbi,ʔ a r b + i,ʔ a r b + i,1
Barwar_Neo-Aramaic-thirtyseven-1,Barwar_Neo-Aramaic,thirtyseven,ṭḷáθi-w-šáwwa,tˤ lˤ a θ + i + w + ʃ a wː a,tˤ lˤ a θ + i + w + ʃ a wː a,1
Barwar_Neo-Aramaic-thirtyone-1,Barwar_Neo-Aramaic,thirtyone,ṭḷáθi-w-xa,tˤ lˤ a θ + i + w + x a,tˤ lˤ a θ + i + w + x a,1
Barwar_Neo-Aramaic-five-1,Barwar_Neo-Aramaic,five,xámša,x a m ʃ a,x a m ʃ a,1
Barwar_Neo-Aramaic-seventynine-1,Barwar_Neo-Aramaic,seventynine,šáwwi-w-’ǝč̣č̣a,ʃ a wː + i + w + ʔ ǝ ʧˤː a,ʃ a wː + i + w + ʔ ǝ ʧˤː a,1
Burmese-ninety-1,Burmese,ninety,kózɛ́,k ó + z ɛ́,k ó + z ɛ́,1
Burmese-seven-1,Burmese,seven,kʰʊ̀ɰ̃n̥ɪʔ,kʰ ʊ̀ɰ̃ n̥ ɪ ʔ,kʰ ʊ̀ɰ̃ n̥ ɪ ʔ,1
Burmese-ninetyseven-1,Burmese,ninetyseven,kózɛ̰kʰʊ̀ɰ̃n̥ɪʔ,k ó + z ɛ̰ + kʰ ʊ̀ɰ̃ n̥ ɪ ʔ,k ó + z ɛ̰ + kʰ ʊ̀ɰ̃ n̥ ɪ ʔ,1
